Id,Name,Price,UAH-Price,Car-Mileage,Fuel,Location,Akp
1,Mercedes-Benz E-Class  350 CDI BE G-tronic (231 к.с.),13 500 $,545 265 UAH,210 тис. км,"Дизель, 3 л.",Київ,Автомат
2,Mercedes-Benz E-Class  280 CDI AT (190 к.с.),8 900 $,359 560 UAH,254 тис. км,"Дизель, 3 л.",Київ,Автомат
3,Mercedes-Benz E-Class,13 900 $,562 672 UAH,199 тис. км,"Бензин, 3.5 л.",Київ,Автомат
4,Mercedes-Benz E-Class,11 500 $,464 600 UAH,283 тис. км,"Дизель, 3 л.",Бердичів,Автомат
5,Mercedes-Benz E-Class  420 CDI AT (314 к.с.),7 800 $,315 744 UAH,280 тис. км,"Дизель, 4 л.",Київ,Автомат
6,Mercedes-Benz E-Class,5 181 $,210 000 UAH,370 тис. км,"Дизель, 2.2 л.",Дніпро (Дніпропетровськ),Автомат
7,Mercedes-Benz E-Class  270 CDI AT (177 к.с.),6 500 $,263 120 UAH,300 тис. км,"Дизель, 2.7 л.",Чернівці,Автомат
8,Mercedes-Benz E-Class  280 CDI AT (177 к.с.),7 000 $,282 940 UAH,303 тис. км,"Дизель, 3.2 л.",Рівне,Автомат
9,Mercedes-Benz E-Class,15 999 $,646 359 UAH,229 тис. км,"Дизель, 3 л.",Луцьк,Автомат
10,Mercedes-Benz E-Class,8 450 $,341 549 UAH,308 тис. км,"Дизель, 2.2 л.",Коломия,Автомат
11,Mercedes-Benz E-Class  200 Kompressor AT (192 к.с.),6 000 $,242 459 UAH,430 тис. км,"Газ / Бензин, 2 л.",Кам'янське (Дніпродзержинськ),Ручна / Механіка
12,Mercedes-Benz E-Class,9 999 $,404 159 UAH,244 тис. км,"Дизель, 3 л.",Київ,Автомат
13,Mercedes-Benz E-Class  200 Kompressor MT (192 к.с.),3 650 $,147 861 UAH,309 тис. км,"Бензин, 2 л.",Коломия,Автомат
14,Mercedes-Benz E-Class  200 Kompressor AT (163 к.с.),7 700 $,311 080 UAH,265 тис. км,"Бензин, 1.8 л.",Вінниця,Автомат
15,Mercedes-Benz E-Class,4 000 $,161 640 UAH,465 тис. км,"Газ / Бензин, 4.3 л.",Первомайськ,Типтронік
16,Mercedes-Benz E-Class,5 699 $,230 239 UAH,280 тис. км,"Бензин, 2.4 л.",Рівне,Автомат
17,Mercedes-Benz E-Class  220 CDI AT (150 к.с.),8 600 $,347 525 UAH,317 тис. км,"Дизель, 2.2 л.",Київ,Типтронік
18,Mercedes-Benz E-Class  280 AT (231 к.с.),9 499 $,383 854 UAH,293 тис. км,"Дизель, 3 л.",Хмельницький,Автомат
19,Mercedes-Benz E-Class,6 999 $,282 829 UAH,318 тис. км,"Бензин, 5 л.",Хмельницький,Автомат
20,Mercedes-Benz E-Class,8 750 $,353 500 UAH,221 тис. км,"Газ / Бензин, 3 л.",Олевськ,Автомат
